step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,0.18106066725157652,0.0,0.0,0.18106066725157652,60000.0,0.25
500,0.0006493632045350454,0.0,0.0,0.0006493632045350454,60000.0,0.25
1000,0.0002437064587867658,0.0,0.0,0.0002437064587867658,60000.0,0.25
1500,0.00010189014110168661,0.0,0.0,0.00010189014110168661,60000.0,0.25
2000,4.9315296373295945e-05,0.0,0.0,4.9315296373295945e-05,60000.0,0.25
2500,3.1087161376407485e-05,0.0,0.0,3.1087161376407485e-05,60000.0,0.25
3000,2.2744156672907647e-05,0.0,0.0,2.2744156672907647e-05,60000.0,0.25
3500,1.7845733122117317e-05,0.0,0.0,1.7845733122117317e-05,60000.0,0.25
4000,1.4730015625350865e-05,0.0,0.0,1.4730015625350865e-05,60000.0,0.25
4500,1.2256990217536727e-05,0.0,0.0,1.2256990217536727e-05,60000.0,0.25
5000,1.0444381982823692e-05,0.0,0.0,1.0444381982823692e-05,60000.0,0.25
