step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,34631879.05185575,1768396.6440331468,16947912.611524284,0.0,59999.9900000001,0.24900000001
500,22860326.93825461,1066294.6805148378,12197380.133106232,0.0,59994.99000005001,0.06361429639405937
1000,22565899.94454523,1036870.918043711,12197190.764108121,0.0,59989.990000099926,0.06496522936166682
1500,22771006.19678769,1059427.1894255588,12176734.302532101,0.0,59984.99000014984,0.06371528002298689
2000,23141567.7908467,1095491.2104416296,12186655.686430406,0.0,59979.99000019975,0.06352221627095428
2500,22711903.308394067,1051580.5115677027,12196098.192717042,0.0,59974.990000249665,0.06261912294413806
3000,22698504.722556137,1051940.6664045225,12179098.058510913,0.0,59969.99000029958,0.06229578408110361
3500,23259541.233816013,1107934.3853979476,12180197.379836537,0.0,59964.99000034949,0.06316097615658295
4000,22530416.440997146,1036018.0645859565,12170235.795137582,0.0,59959.990000399404,0.06397338239857064
4500,22764238.816171154,1058591.9262298413,12178319.553872744,0.0,59954.99000044932,0.06410113124218733
5000,22894094.260207932,1071582.0212695445,12178274.04751249,0.0,59949.99000049923,0.0626977260903202
