step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,527962.9602413482,519136.342187997,8826.436992683995,0.18106066725157652,64999.9999,0.26990000000000003
200,612.9787457613986,471.0198096196541,141.73767540678614,0.22126073495837248,64999.99797780895,0.2675778962984577
400,293.67028910968793,270.5716413688214,22.8881722133952,0.21047552747131404,64999.99785707864,0.2669681198863308
600,171.4981410259401,158.69371952884657,12.603724143617013,0.2006973534765164,64999.99774555812,0.26661025058265636
800,113.98611081110502,105.95617386380128,7.837150578373912,0.19278636892982007,64999.99765945354,0.26632564205816783
1000,81.34620787004496,75.8664959383403,5.293935056339835,0.1857768753648295,64999.9975876439,0.266090143884159
1200,60.399981745721355,56.36089105113206,3.8598230545545533,0.17926764003474518,64999.997525572224,0.26589160293574676
1400,46.2777545851165,43.121890256285624,2.9827249466979158,0.17313938213295985,64999.997470945425,0.26572149829095504
1600,36.52770502407531,33.96178307886065,2.3985475852039784,0.167374360010683,64999.99742189169,0.26557360290874665
1800,29.656758418437256,27.507976955940023,1.9868090140346328,0.1619724484626006,64999.997376798936,0.2654432413439899
2000,24.70826691080674,22.863363350187466,1.6879793969200918,0.1569241636991806,64999.997334352614,0.2653268477597334
2200,21.05230734451698,19.43367728603208,1.4664214108482039,0.15220864763669598,64999.99729352799,0.2652216622885746
2400,18.264296337587016,16.818651676045693,1.2978441912203589,0.1478004703209629,64999.99725357256,0.2651255109926298
2600,16.056410600690715,14.747172400039775,1.1655613694883313,0.14367683116260924,64999.997213989634,0.2650366488568843
2800,14.237326708204733,13.038826951603284,1.0586783573966025,0.1398213992048471,64999.99717451151,0.26495366327075764
3000,12.685659631506521,11.579035060495162,0.970399966389693,0.13622460462166688,64999.997135054175,0.264875421533027
